Brand,Model_Name,Processor_name,ram,Processor_generation,OS,storage,rating,price,screen_size(inch)
ASUS,ASUSVivoBook14(2022)Corei3,Intel Core i3 ,8 GB DDR4 ,12th Gen,Windows 11 ,512 GB SSD35.56 ,4.4,"₹47,990", 14 
DELL,DELLRyzen3QuadCore5425U,AMD Ryzen 3 Quad Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.6,"₹43,667", 15.6  
ASUS,ASUSROGStrixG15(2022)with,AMD Ryzen 7 Octa Core ,16 GB DDR5 ,,Windows 11 ,1 TB SSD39.62 ,4.5,"₹1,35,990", 15.6 
ASUS,ASUSROGStrixG15(2022)Ryzen,AMD Ryzen 7 Octa Core ,16 GB DDR5 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.4,"₹98,990", 15.6  
Infinix,InfinixX1SeriesCorei710th,Intel Core i7 ,16 GB LPDDR4X ,10th Gen,64 bit Windows 11 ,512 GB SSD35.56 ,4.2,"₹46,990", 14  
ASUS,ASUSVivoBookCorei311thGen,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,256 GB SSD35.56 ,4.3,"₹35,990", 14  
ASUS,ASUSTUFGamingF17(2022)Core,Intel Core i7 ,16 GB DDR5 ,12th Gen,64 bit Windows 11 ,1 TB SSD43.94 ,4.3,"₹1,09,990", 17.3 
APPLE,APPLE2022MacBookAIRM2-,Apple M2 ,8 GB Unified Memory ,,Mac OS ,512 GB SSD34.54 ,4.3,"₹1,39,990", 13.6  
DELL,DELLCorei512thGen-,Intel Core i5 ,8 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD35.56 ,4.8,"₹74,770", 14  Touchscreen 
HP,HPRyzen3QuadCore5300U,AMD Ryzen 3 Quad Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD35.56 ,4.3,"₹40,799", 14  
ASUS,ASUSTUFGamingF15Corei5,Intel Core i5 ,16 GB DDR4 ,10th Gen,64 bit Windows 10 ,512 GB SSD39.62 ,4.5,"₹69,490", 15.6 
ASUS,ASUSVivobookUltra14(2022)Core,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD35.56 ,4.2,"₹39,990", 14 
ASUS,ASUSZenbookS13OLEDRyzen,AMD Ryzen 5 Hexa Core ,16 GB LPDDR5 ,,Windows 11 ,512 GB SSD33.78 ,4.8,"₹99,990", 13.3  Touchscreen 
APPLE,APPLE2021MacbookProM1Pro,Apple M1 Pro ,16 GB Unified Memory ,,Mac OS ,1 TB SSD41.15 ,4.8,"₹2,41,990", 16.2 
acer,acerExtensaCorei511thGen,Intel Core i5 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,3.9,"₹40,990", 15.6  
HP,HP15sCorei511thGen,Intel Core i5 ,8 GB DDR4 ,11th Gen,64 bit Windows 10 ,512 GB SSD39.62 ,4.4,"₹60,390", 15.6 
HP,HPPavilionGamingCorei511th,Intel Core i5 ,8 GB DDR4 ,11th Gen,64 bit Windows 10 ,1 TB HDD|256 GB SSD39.62 ,4.4,"₹69,990", 15.6 
ASUS,ASUSCorei312thGen-,Intel Core i3 ,8 GB DDR4 ,12th Gen,64 bit Windows 11 ,256 GB SSD35.56 ,4.0,"₹44,990", 14  
ASUS,ASUSCorei510thGen-,Intel Core i5 ,8 GB DDR4 ,10th Gen,Windows 11 ,256 GB SSD39.62 ,4.7,"₹44,990", 15.6 
HP,HPRyzen5HexaCore5500U,AMD Ryzen 5 Hexa Core ,16 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.3,"₹55,990", 15.6  
Lenovo,LenovoYogaSlim7ProCore,Intel Core i5 ,16 GB LPDDR4X ,11th Gen,64 bit Windows 11 ,512 GB SSD35.56 ,4.4,"₹74,990", 14  
ASUS,ASUSTUFGamingF15Corei5,Intel Core i5 ,8 GB DDR4 ,10th Gen,64 bit Windows 11 ,1 TB SSD39.62 ,4.5,"₹59,990", 15.6 
APPLE,APPLE2021MacbookProM1Pro,Apple M1 Pro ,16 GB Unified Memory ,,Mac OS ,512 GB SSD41.15 ,4.8,"₹2,22,990", 16.2 
acer,acerNitro5Ryzen5Hexa,AMD Ryzen 5 Hexa Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.3,"₹62,990", 15.6  
MSI,MSIGF63ThinCorei59th,Intel Core i5 ,8 GB DDR4 ,9th Gen,64 bit Windows 10 ,512 GB SSD39.62 ,4.5,"₹58,499", 15.6 
Lenovo,LenovoIdeaPadGaming3Corei5,Intel Core i5 ,8 GB DDR4 ,10th Gen,64 bit Windows 10 ,1 TB HDD|256 GB SSD39.62 ,4.3,"₹65,990", 15.6 
DELL,DELLG15Corei712thGen,Intel Core i7 ,16 GB DDR5 ,12th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.0,"₹1,11,990", 15.6  
Lenovo,LenovoIdeaPad5Corei512th,Intel Core i5 ,16 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,3.7,"₹68,490", 15.6 
ASUS,ASUSExpertBookP2Corei510th,Intel Core i5 ,8 GB DDR4 ,10th Gen,64 bit Windows 10 ,1 TB HDD35.56 ,4.3,"₹83,990", 14 
acer,acerAspire7Corei512th,Intel Core i5 ,8 GB DDR4 ,12th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.3,"₹54,990", 15.6 
ASUS,ASUSChromebookFlipTouchCeleronDual,Intel Celeron Dual Core ,4 GB LPDDR4 ,,Chrome ,29.46 ,4.0,"₹14,990", 11.6 
APPLE,APPLEMacBookProM1-(8,Apple M1 ,8 GB DDR4 ,,Mac OS ,1 TB SSD33.78 ,4.7,"₹1,49,990", 13.3 
DELL,DELLVostroCorei511thGen,,: 11th Generation Intel Core i5-1135G7 ,11th Gen ,: 11th Generation Intel Core i5-1135G7 ,: 11th Generation Intel Core i5-1135G7 ,3.9,"₹63,090",: 11th Generation Intel Core i5-1135G7 
MSI,MSIVectorGP66Corei712th,Intel Core i7 ,16 GB DDR5 ,12th Gen,64 bit Windows 11 ,1 TB SSD39.62 ,4.3,"₹2,00,000", 15.6 
Lenovo,LenovoIdeaPad3Corei311th,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 11 ,256 GB SSD39.62 ,5.0,"₹37,390", 15.6  
ASUS,ASUSVivoBookFlip14Corei5,Intel Core i5 ,8 GB LPDDR4X ,11th Gen,Windows 11 ,512 GB SSD35.56 ,4.5,"₹63,990", 14 
DELL,DELLVostroCorei310thGen,,: 10th Generation Intel Core i3-1005G1 ,: 10th Generation Intel Core i3-1005G1 ,: 10th Generation Intel Core i3-1005G1 ,: 10th Generation Intel Core i3-1005G1 ,4.1,"₹43,090",: 10th Generation Intel Core i3-1005G1 
Lenovo,LenovoThinkPadE15Corei311th,Intel Core i3 ,4 GB DDR4 ,11th Gen,64 bit Windows 10 ,256 GB SSD39.62 ,4.1,"₹44,700", 15.6 
HP,HPIntelCorei311thGen,Intel Core i3 ,8 GB DDR4 ,11th Gen,64 bit Windows 10 ,256 GB SSD35.56 ,4.4,"₹41,150", 14 
ASUS,ASUSRyzen3DualCore-,AMD Ryzen 3 Dual Core ,8 GB DDR4 ,,Windows 11 ,256 GB SSD39.62 ,4.0,"₹33,990", 15.6 
MSI,MSICorei712thGen-,Intel Core i7 ,16 GB DDR5 ,12th Gen,64 bit Windows 11 ,1 TB SSD43.94 ,4.4,"₹1,90,890", 17.3  
ASUS,ASUSROGFlowZ13(2022)Core,Intel Core i9 ,16 GB LPDDR5 ,12th Gen,64 bit Windows 11 ,1 TB SSD34.04 ,4.5,"₹1,74,990", 13.4  Touchscreen 
HP,HPOMENRyzen7OctaCore,AMD Ryzen 7 Octa Core ,16 GB DDR4 ,,64 bit Windows 11 ,1 TB SSD40.89 ,3.5,"₹1,18,990", 16.1 
ASUS,ASUSTUFGAMINGF15Corei5,Intel Core i5 ,16 GB DDR4 ,10th Gen,64 bit Windows 11 ,512 GB SSD39.62 ,4.5,"₹63,980", 15.6 
acer,acerAspire5Ryzen5Hexa,AMD Ryzen 5 Hexa Core ,8 GB DDR4 ,,64 bit Windows 11 ,512 GB SSD39.62 ,4.4,"₹54,300", 15.6 
DELL,DELLInspironRyzen3DualCore,AMD Ryzen 3 Dual Core ,8 GB DDR4 ,,64 bit Windows 11 ,256 GB SSD39.62 ,4.2,"₹36,400", 15.6  
ASUS,ASUSVivobook15Corei38th,Intel Core i3 ,4 GB DDR4 ,8th Gen,64 bit Windows 10 ,256 GB SSD39.62 ,4.3,"₹28,590", 15.6 
DELL,DELLRyzen5HexaCore-,AMD Ryzen 5 Hexa Core ,16 GB DDR4 ,,Windows 11 ,512 GB SSD40.64 ,4.2,"₹69,999", 16 
ASUS,ASUSROGStrixSCAR15(2022),Intel Core i9 ,32 GB DDR5 ,12th Gen,64 bit Windows 11 ,1 TB SSD39.62 ,5.0,"₹3,01,990", 15.6 
Lenovo,LenovoIdeaPad3Corei311th,Intel Core i3 ,8 GB DDR4 ,11th Gen,Windows 11 ,256 GB SSD38.1 ,4.2,"₹37,000", 15 
